,state,count,Pop,,,,
1,AK,4,734002,5.449576432,,mean,3.265865699
2,AL,17,4908620,3.463295183,,median,2.816755246
3,AR,5,3039000,1.645278052,,,
4,AZ,42,7378490,5.692221579,,,
5,CA,190,39937500,4.75743349,,,
6,CO,29,5845530,4.961055713,,,
7,CT,2,3563080,0.561312123,,,
8,DC,4,720687,5.550259683,,,
9,DE,3,982895,3.052208018,,,
10,FL,61,21993000,2.773609785,,,
11,GA,29,10736100,2.70116709,,,
12,HI,2,1412690,1.415738768,,,
13,IA,5,3179850,1.572401214,,,
14,ID,7,1826160,3.833180006,,,
15,IL,21,12659700,1.658807081,,,
16,IN,19,6745350,2.816755246,,,
17,KS,9,2910360,3.09240094,,,
18,KY,16,4499690,3.555800511,,,
19,LA,27,4645180,5.812476589,,,
20,MA,9,6976600,1.290026661,,,
21,MD,15,6083120,2.465839898,,,
22,ME,2,1345790,1.486115962,,,
23,MI,16,10045000,1.592832255,,,
24,MN,12,5700670,2.105015726,,,
25,MO,21,6169270,3.403968379,,,
26,MS,8,2989260,2.676247633,,,
27,MT,4,1086760,3.680665464,,,
28,NC,22,10611900,2.0731443,,,
29,ND,1,761723,1.312813188,,,
30,NE,8,1952570,4.09716425,,,
31,NH,3,1371250,2.187784868,,,
32,NJ,15,8936570,1.678496336,,,
33,NM,20,2096640,9.539072039,,,
34,NV,19,3139660,6.051610684,,,
35,NY,19,19440500,0.977341118,,,
36,OH,29,11747700,2.468568316,,,
37,OK,32,3954820,8.091392276,,,
38,OR,15,4301090,3.487488055,,,
39,PA,18,12820900,1.4039576,,,
40,SC,19,5210100,3.646763018,,,
41,SD,3,903027,3.322159803,,,
42,TN,20,6897580,2.899567674,,,
43,TX,100,29472300,3.393016493,,,
44,UT,10,3282120,3.046811207,,,
45,VA,18,8626210,2.086663784,,,
46,VT,1,628061,1.592202031,,,
47,WA,16,7797100,2.052044991,,,
48,WI,11,5851750,1.879779553,,,
49,WV,10,1778070,5.624075543,,,
50,WY,6,567025,10.58154402,,,
,,,,0,,,